	state	total_count
8	District of Columbia	7
34	North Dakota	129
7	Delaware	166
50	Wyoming	175
41	South Dakota	183
39	Rhode Island	228
45	Vermont	260
11	Hawaii	262
1	Alaska	319
24	Mississippi	375
27	Nebraska	381
48	West Virginia	448
26	Montana	478
29	New Hampshire	486
12	Idaho	521
18	Louisiana	558
19	Maine	558
3	Arkansas	588
16	Kansas	613
44	Utah	622
0	Alabama	642
15	Iowa	678
31	New Mexico	720
36	Oklahoma	724
28	Nevada	803
20	Maryland	837
17	Kentucky	855
6	Connecticut	892
40	South Carolina	1003
23	Minnesota	1012
42	Tennessee	1119
49	Wisconsin	1232
10	Georgia	1255
30	New Jersey	1255
21	Massachusetts	1256
46	Virginia	1273
14	Indiana	1288
5	Colorado	1413
25	Missouri	1458
33	North Carolina	1740
37	Oregon	1747
22	Michigan	1836
35	Ohio	2275
38	Pennsylvania	2366
2	Arizona	2414
13	Illinois	2499
32	New York	2980
43	Texas	3447
9	Florida	3835
47	Washington	3966
4	California	8912
